ID,Created,Date,Interaction IDs,Status,Loan start date,Number of times in arrears,Arrears start date,Current arrears amount,How many PTPs set on this account since first falling into arrears?,How many of these PTPs failed?,How many PAs set on this account since first falling into arrears?,How many of these PAs failed?,How many  holds were applied to this account since first falling into arrears?,Did SMS as per the strategy send to customer during period of arrears? ,Did emails as per the strategy send to customer during period of arrears?,Were all statutory comms sent when required? (NOD/NOSIA/NOT),Are system comms supressed/unsupressed correctly as of now?,Is there a VC flag on this account,Category of VC,Is there a current / open complaint?,Was there a previous complaint relevant to the customers arears position or journey?,Arrears or financial difficulties could not reasonably have been prevented through earlier engagement or support.,Arrears - Fail Reasons,"Any customer vulnerability is identified and appropriately responded to, with tailored support provided where necessary.",Vulnerability - Fail Reasons,The customer’s financial and personal circumstances are clearly understood to inform decision-making.,Customer's financial circumstances - Fail Reasons,"The support or forbearance solutions offered are tailored, fair, and appropriate to the customer’s needs and situation.",Support/Forbearance - Fail Reasons,"The customer fully understands the situation, the implications of their choices, and the next steps.",Customer understanding - Fail Reasons,"Communications are timely, clear, empathetic, and take into account customer needs (e.g. format, tone, timing of comms). Communication was easily understood and accurate. ",Communications - Fail Reasons,"All systems accurately reflect the customer’s circumstances, actions taken, and agreed next steps.",System updates - Fail Reasons,Would further back be a good review - (was any Financial Difficulty  foreseeable at Point Of Sale),Remediation Required ,Which of the below could be described as the primary reason for failure across the entire customer journey?,Were there attempts to X-sell the customer while the account was in arrears?,"If yes, which departments were responsible for attempting to X-sell whilst the customer was in arrears?",Overall outcome,Loan start date - Copy,Tenure (Days),Arrears start date - Copy,Days to enter arrears,Primary Fail Reasons Table.Which of the below could be described as the primary ,Primary Fail Reasons
2,03/06/2025,2025-06-03,be63c298-8392-423c-9dd0-7af8615b1ac1,In strategy,2025-01-06,2,2025-04-25,41.38,1,0,0,0,1,Yes,Yes,Yes,Yes,Yes,"""Financial""",No,No,Good,,Good,,Good,,Good,,Good,,Good,,Good,,No,No,null,,null,Good Outcome with Feedback,06/01/2025,321,25/04/2025,109,,
3,05/06/2025,2025-06-05,a069589a-3fc0-49a5-a1a0-2415c5e81857,Terminated,2024-05-13,1,2024-12-03,1032.88,0,0,0,0,0,Yes,Yes,Yes,Yes,No,,No,No,Good,,Good,,Good,,Poor,"""Inappropriate solution for customer scenario""",Good,,Poor,"""Tone was dismissive or robotic, lacking empathy or understanding.""",Good with feedback,"""Inconsistency between call notes and system updates""",No,Yes,null,,null,Poor Outcome - Advisor,13/05/2024,559,03/12/2024,204,,
4,09/06/2025,2025-06-09,"803f1c20-08f5-4573-9fd2-dd064215b19a
fa7ff484-5c8f-444c-8af7-02d8e45df5c7
c60ac83a-9338-4e6a-bd05-497442dce7ed
https://uk.aeriandi.com/player/app/v2/84490/4744344/portal?ref_75977088
254fbb2c-e7be-43d7-bebc-1b3154cc2c01
bd7e2c78-6beb-4992-808b-6efa51a72259
7419b2c1-f605-473c-829b-bc27219058b8",In strategy,2024-11-12,4,2024-12-31,1225.32,6,0,0,0,6,Yes,Yes,Yes,Yes,Yes,"""Financial""",No,Yes,Poor,"""Agent failed to offer appropriate support early"",""No proactive contact made despite available indicators of payment stress or pre-arrears."",""Missed early warning signs""",Poor,"""Standard solutions offered, no evidence of tailoring based on the vulnerability."",""Vulnerability flag not recorded or updated, impacting future support consistency.""",Good with feedback,"""Key income/outgoings missed or misclassified"",""No evidence of personalisation in the outcome based on the customer’s circumstances.""",Good with feedback,"""No rationale recorded for solution chosen, so suitability cannot be evidenced.""",Poor,"""Next steps unclear or conflicting"",""Customer asked no questions/questions ignored and was rushed, suggesting lack of understanding.""",Poor,"""Message unclear or contradictory, causing customer confusion."",""Tone was dismissive or robotic, lacking empathy or understanding.""",Poor,"""Key details missing or incomplete in the system "",""Inconsistency between call notes and system updates""",Yes,Yes,null,,null,Poor Outcome - Advisor,12/11/2024,376,31/12/2024,49,,
5,10/06/2025,2025-06-10,"c6dfebe2-b5aa-46f9-a543-6aa1725eafd3
ed60f61f-5dd3-47ad-b8a4-19346bc0af56
c61b6ddd-81c7-472c-a499-b1d03de67dd5",In strategy,2023-07-21,2,2024-11-08,18.5,2,0,0,0,2,Yes,Yes,Yes,Yes,No,,No,No,Good,,Poor,"""Signs of vulnerability not probed or acknowledged "",""Customer disclosure overlooked or not acted upon""",Good,,Good,,Good,,Good with feedback,"""Tone was dismissive or robotic, lacking empathy or understanding.""",Good,,No,No,null,,null,Poor Outcome - Advisor,21/07/2023,856,08/11/2024,476,,
6,10/06/2025,2025-06-02,"1dbf6839-7589-49f0-aefc-ed28f5a4046c, 30678079-fe11-48b9-af27-9cc020008ba4, 81d7884b-b73f-40cd-9318-2d89a9d5562a, 8776c603-d733-4dcb-ab98-9a891912cc70, ",In strategy,2024-01-07,2,2025-06-06,31.53,4,1,3,0,1,No,Yes,N/A,Yes,No,,No,No,Good,,Good,,Good,,Good,,Good,,Good,,Good,,No,No,null,,null,Good Outcome ,07/01/2024,686,06/06/2025,516,,
8,11/06/2025,2025-06-10,"e24ff077-bf82-4c4a-90d8-bd79b83e77a5 
5fedff0a-2362-4c05-a771-f72bb0bbc1e2 
7845192b-2987-4ed2-9e50-9f74de1205a1
a8f7ce3e-4820-4ae5-a1f3-d6a8ef8b47c7
06b19660-f098-479f-bdd8-8952e67cac9b",Terminated,2024-09-09,3,2024-10-12,969.68,0,0,2,1,1,Yes,Yes,Yes,Yes,Yes,"""Financial"",""Mental & Emotional Wellbeing""",No,No,Good with feedback,"""Agent failed to offer appropriate support early""",Good with feedback,"""Standard solutions offered, no evidence of tailoring based on the vulnerability."",""Vulnerability flag not recorded or updated, impacting future support consistency.""",Good with feedback,"""Customer challenges not explored"",""Assumptions made without clarification""",Good with feedback,"""Proposed solution not affordable or sustainable based on I&E or customer disclosure."",""No rationale recorded for solution chosen, so suitability cannot be evidenced.""",Good with feedback,"""Customer asked no questions/questions ignored and was rushed, suggesting lack of understanding."",""Next steps unclear or conflicting"",""Jargon or technical terms used with no clarification""",Good with feedback,"""Tone was dismissive or robotic, lacking empathy or understanding."",""Message unclear or contradictory, causing customer confusion.""",Poor,"""Key details missing or incomplete in the system "",""Incorrect flags or statuses applied""",Yes,Yes,null,,null,Good Outcome with Feedback,09/09/2024,440,12/10/2024,33,,
7,11/06/2025,2025-06-11,"https://uk.aeriandi.com/player/app/v2/84490/4744344/portal?ref_63216127
https://uk.aeriandi.com/player/app/v2/84490/4744344/portal?ref_73954611
https://uk.aeriandi.com/player/app/v2/84490/4744344/portal?ref_74802622
ffd0ce08-0df1-47e6-8750-f4bd8559bf10",Terminated,2023-10-27,6,2023-12-06,742.5,2,0,0,0,3,Yes,Yes,Yes,Yes,Yes,"""Mental & Emotional Wellbeing""",Yes,No,Good,,Poor,"""Signs of vulnerability not probed or acknowledged "",""Customer disclosure overlooked or not acted upon"",""Vulnerability flag not recorded or updated, impacting future support consistency.""",Good,,Good,,Good,,Poor,"""Tone was dismissive or robotic, lacking empathy or understanding."",""Delayed response or contact, leading to increased customer detriment or anxiety.""",Poor,"""Key details missing or incomplete in the system "",""Inconsistency between call notes and system updates""",No,No,null,,null,Poor Outcome - Advisor,27/10/2023,758,06/12/2023,40,,
9,11/06/2025,2025-06-04,"2eadb2f8-66bc-4086-b8be-c59d8177fd65
7539f657-c072-41f5-8a7a-f6e5bdc14732",In strategy,2024-11-28,15,2025-03-02,94.24,2,0,0,0,0,Yes,Yes,Yes,No,No,,No,No,Good,,Good,,Good with feedback,"""Assumptions made without clarification""",Good,,Good,,Good,,Good,,Yes,Yes,null,,null,Poor Outcome - Process or System,28/11/2024,360,02/03/2025,94,,
10,12/06/2025,2025-06-11,"7d6c6e27-f215-43c9-87f4-b6a31378e17c-jan 12 2025 
2ab9e06e-81de-4f20-9c53-2c77f562f191-oct 2024",Up to Date,2024-08-01,1,2024-09-30,0,1,0,0,0,0,Yes,Yes,Yes,Yes,No,,No,No,Good with feedback,"""Agent failed to offer appropriate support early""",Good,,Good with feedback,"""Assumptions made without clarification"",""Key income/outgoings missed or misclassified""",Poor,"""Inflexible options offered""",Poor,"""Next steps unclear or conflicting""",Good with feedback,"""Tone was dismissive or robotic, lacking empathy or understanding.""",Poor,"""Key details missing or incomplete in the system "",""Inconsistency between call notes and system updates""",No,No,null,,null,Poor Outcome - Advisor,01/08/2024,479,30/09/2024,60,,
11,13/06/2025,2025-06-13,"627ceb04-6d50-484a-9028-5002373d53da
8724099f-0d96-43a9-a69e-6e4702d79d0d",In strategy,2024-07-09,3,2025-01-28,69.54,0,0,1,0,1,Yes,Yes,Yes,Yes,Yes,"""Financial""",No,No,Poor,"""Missed early warning signs""",Good,,Good,,Good,,Good with feedback,"""Key implications not explained""",Good,,Good,,No,No,null,,null,Good Outcome with Feedback,09/07/2024,502,28/01/2025,203,,
13,13/06/2025,2025-06-13,.014ce011-ccc5-49ec-ae91-2e2d789818cc,DCA,2024-08-03,5,2024-12-19,1205.32,1,1,0,0,0,Yes,Yes,Yes,Yes,No,,No,No,Good,,Poor,"""Vulnerability flag not recorded or updated, impacting future support consistency."",""Support offered was not appropriate for the vulnerability""",Poor,"""Assumptions made without clarification"",""No evidence of personalisation in the outcome based on the customer’s circumstances.""",Good,,Good with feedback,"""Next steps unclear or conflicting""",Good with feedback,"""Tone was dismissive or robotic, lacking empathy or understanding.""",Poor,"""Inconsistency between call notes and system updates""",Yes,No,null,,null,Poor Outcome - Advisor,03/08/2024,477,19/12/2024,138,,
12,13/06/2025,2025-06-02,"be533ed0-0700-49d1-a3cf-552f7c261903, d3c10458-8c4d-4ed2-9137-2347fcebb26c",In strategy,2023-09-07,2,2024-07-09,30.53,2,0,0,0,0,N/A,Yes,Yes,Yes,No,,No,No,Good,,Good,,Good,,Good,,Good,,Good with feedback,"""Message unclear or contradictory, causing customer confusion.""",Good,,No,No,null,,null,Good Outcome with Feedback,07/09/2023,808,09/07/2024,306,,
15,16/06/2025,2025-06-02,"43d3abf1-4ada-4997-9234-a21dd6312036, 13fe1cf8-d3e3-4b5a-9fdb-ce32a74e7f3b",Up to Date,2023-10-30,1,2024-11-21,0,0,0,0,0,0,N/A,Yes,Yes,Yes,No,,No,Yes,Good,,Good,,Good,,Good,,Good,,Good with feedback,"""Message unclear or contradictory, causing customer confusion.""",Good,,No,No,null,,null,Poor Outcome - Process or System,30/10/2023,755,21/11/2024,388,,
14,16/06/2025,2025-06-13,"81152468 
81153032

ec35ac5d-a7e6-42e3-8cee-2e3fdfa46deb
9d96e36b-2654-4b1b-8dc8-524367fceee4",In strategy,2024-09-15,2,2025-03-05,33.5,1,0,0,0,0,Yes,Yes,Yes,Yes,No,,No,No,Good with feedback,"""Missed early warning signs""",Poor,"""Signs of vulnerability not probed or acknowledged "",""Customer disclosure overlooked or not acted upon"",""Vulnerability flag not recorded or updated, impacting future support consistency.""",Good with feedback,"""Income & expenditure not captured, or done superficially with no follow-up questions."",""No evidence of personalisation in the outcome based on the customer’s circumstances."",""Customer challenges not explored""",Good,,Good,,Good,,Good with feedback,"""Next steps not documented or wrongly recorded, leading to confusion or follow-up issues."",""Inconsistency between call notes and system updates""",No,Yes,null,,null,Good Outcome with Feedback,15/09/2024,434,05/03/2025,171,,
18,17/06/2025,2025-06-17,"78261037
78398598
cc201032-9ea2-4f93-8d99-d350dc2287f9
bf087fcf-c576-43fb-be01-d64a84359941
a15a71f2-22ef-4ea9-bb50-66df919f2c9a",In strategy,2024-06-22,1,2025-03-12,56.32,1,0,0,0,1,Yes,Yes,Yes,Yes,Yes,"""Health and Capacity"",""Financial""",No,No,Poor,"""Missed early warning signs"",""No proactive contact made despite available indicators of payment stress or pre-arrears."",""Agent failed to offer appropriate support early"",""Customer disclosed difficulties previously but no follow-up action was taken or recorded.""",Poor,"""Standard solutions offered, no evidence of tailoring based on the vulnerability."",""Support offered was not appropriate for the vulnerability"",""Vulnerability flag not recorded or updated, impacting future support consistency.""",Poor,"""Income & expenditure not captured, or done superficially with no follow-up questions."",""Key income/outgoings missed or misclassified"",""Customer challenges not explored"",""No evidence of personalisation in the outcome based on the customer’s circumstances.""",Poor,"""Proposed solution not affordable or sustainable based on I&E or customer disclosure."",""Inflexible options offered"",""Inappropriate solution for customer scenario"",""No rationale recorded for solution chosen, so suitability cannot be evidenced.""",Poor,"""Customer asked no questions/questions ignored and was rushed, suggesting lack of understanding."",""Next steps unclear or conflicting"",""Jargon or technical terms used with no clarification"",""Customer questions not answered properly or dismissed.""",Good with feedback,"""Tone was dismissive or robotic, lacking empathy or understanding."",""Message unclear or contradictory, causing customer confusion.""",Poor,"""Key details missing or incomplete in the system "",""Next steps not documented or wrongly recorded, leading to confusion or follow-up issues."",""Incorrect flags or statuses applied""",No,Yes,null,,null,Poor Outcome - Advisor,22/06/2024,519,12/03/2025,263,,
17,17/06/2025,2025-06-17,"8a7d123d-214a-497f-ab72-e798e1e897ad
2821695c-c709-4a20-a7f0-f886fe5b9387",In strategy,2025-01-15,2,2025-02-18,117.88,2,1,0,0,2,Yes,Yes,Yes,Yes,Yes,"""Financial""",No,No,Good,,Good with feedback,"""Signs of vulnerability not probed or acknowledged """,Poor,"""Customer challenges not explored"",""Key income/outgoings missed or misclassified""",Good,,Good,,Good,,Good,,No,No,null,,null,Good Outcome with Feedback,15/01/2025,312,18/02/2025,34,,
19,18/06/2025,2025-06-18,"4c1bd720-24b7-4caf-a7b3-ef23137ba6ec
b0fec555-e0dc-4a75-a938-ac21b275f4ec
f12a9683-01a3-4622-b9e9-9ecde6c50851",In strategy,2024-06-10,3,2024-12-30,58,0,0,1,0,1,Yes,Yes,Yes,Yes,Yes,"""Financial""",No,No,Good,,Good,,Good with feedback,"""Key income/outgoings missed or misclassified""",Good,,Good,,Good,,Good,,No,No,null,,null,Good Outcome with Feedback,10/06/2024,531,30/12/2024,203,,
20,19/06/2025,2025-06-19,"fc1def01-6cd6-4f03-8d79-d570807945ac
6b36b62f-a7a4-40ed-b83c-24d0fc8ab83d
191d881e-c630-4501-9c68-4046ea7d6938
80a458ca-d995-468c-9034-3522b3e095f6",In strategy,2024-07-28,3,2024-08-13,117,0,0,0,0,1,Yes,Yes,Yes,Yes,No,,No,Yes,Good with feedback,"""No proactive contact made despite available indicators of payment stress or pre-arrears.""",Good,,Good,,Good,,Good,,Good,,Good,,No,No,null,,null,Good Outcome with Feedback,28/07/2024,483,13/08/2024,16,,
21,19/06/2025,2025-06-02,"766e0aab-5208-4675-b451-62799e57cfa3, 50db6444-a002-48d3-86a0-a5492f5fc1d6",In strategy,2024-04-05,2,2024-05-02,549.03,0,0,1,0,0,Yes,Yes,Yes,Yes,Yes,"""Financial"",""Health and Capacity"",""Mental & Emotional Wellbeing"",""Mental Capacity""",No,No,Poor,"""Agent failed to offer appropriate support early"",""Customer disclosed difficulties previously but no follow-up action was taken or recorded.""",Poor,"""Standard solutions offered, no evidence of tailoring based on the vulnerability.""",Good with feedback,"""No evidence of personalisation in the outcome based on the customer’s circumstances.""",Good with feedback,"""No rationale recorded for solution chosen, so suitability cannot be evidenced.""",Poor,"""Key implications not explained""",Good,,Good,,Yes,No,null,,null,Poor Outcome - Advisor,05/04/2024,597,02/05/2024,27,,
23,20/06/2025,2025-06-02,"713764fc-0b27-4a93-a331-04e216985d51, 7f6e7478-294f-4139-991e-470faba863be",Terminated,2024-08-14,1,2024-11-04,968.32,1,1,1,0,0,Yes,Yes,Yes,Yes,Yes,"""Health and Capacity""",Yes,No,Good,,Good,,Good,,Good,,Good with feedback,"""Customer questions not answered properly or dismissed."",""Next steps unclear or conflicting""",Good with feedback,"""Incorrect or misleading information given, including wrong payment dates or account details.""",Good,,No,No,null,,null,Good Outcome with Feedback,14/08/2024,466,04/11/2024,82,,
22,20/06/2025,2025-06-20,"a5c5eb29-ae86-436f-8cf0-0684d832f29c
42e60c72-5685-4f14-8ca4-54b006ece03f
c64acb7b-38bc-4fd6-a61d-bb581c1d5304",Terminated,2023-07-23,3,2024-01-03,934.78,2,2,0,0,1,Yes,Yes,Yes,Yes,Yes,"""Health and Capacity""",No,No,Good,,Good,,Good,,Good,,Good,,Good,,Good with feedback,"""Inconsistency between call notes and system updates""",Yes,No,null,,null,Good Outcome with Feedback,23/07/2023,854,03/01/2024,164,,
24,23/06/2025,2025-06-20,5db483b1-1499-43c4-b426-393cec1f0a72,In strategy,2024-04-08,1,2025-01-23,109,1,0,0,0,0,Yes,Yes,Yes,Yes,No,,No,No,Good,,Good,,Good with feedback,"""Customer challenges not explored"",""Assumptions made without clarification""",Good with feedback,"""No rationale recorded for solution chosen, so suitability cannot be evidenced."",""Customer’s preferences not considered"",""Inappropriate solution for customer scenario""",Good,,Good,,Good,,No,No,null,,null,Good Outcome with Feedback,08/04/2024,594,23/01/2025,290,,
25,23/06/2025,2025-06-02,"048aa037-e39d-44c4-8e5a-cc4de7e13462, e2de87ae-6c84-4c1e-ad8d-70c528dc8b7f, 80d810a8-9a05-4fea-b24d-d92880edb53f, aff61757-34ee-48d9-aecb-937158019a6b, a95c6e96-bb9e-4ced-8f9f-6bba5f06701e, e2c4052e-fc38-4e5e-b042-835d72a649c8",In strategy,2024-05-30,3,2024-10-24,62.07,2,1,0,0,0,N/A,Yes,Yes,Yes,Yes,"""Financial""",No,No,Poor,"""Missed early warning signs""",Good,,Good with feedback,"""Customer challenges not explored"",""Assumptions made without clarification""",Good with feedback,"""No rationale recorded for solution chosen, so suitability cannot be evidenced.""",Good,,Good,,Good,,No,No,null,,null,Poor Outcome - Process or System,30/05/2024,542,24/10/2024,147,,
26,24/06/2025,2025-06-02,97a2d876-7299-4894-a305-66669df5f848,In strategy,2024-10-17,2,2025-01-21,68.49,0,0,1,0,0,Yes,Yes,Yes,Yes,Yes,"""Mental & Emotional Wellbeing"",""Financial""",No,No,Good,,Good,,Good with feedback,"""Customer challenges not explored"",""No evidence of personalisation in the outcome based on the customer’s circumstances.""",Poor,"""Inappropriate solution for customer scenario""",Good,,Good,,Poor,"""Key details missing or incomplete in the system """,No,Yes,null,,null,Poor Outcome - Advisor,17/10/2024,402,21/01/2025,96,,
28,24/06/2025,2025-06-24,"0bf09692-bd64-4171-a114-bf703efa23e1 
292887d6-97ce-4cf7-b493-1beee875d815 
90844468-b007-4924-ad2c-300b56d21795 
ac4e18f1-4a03-4e5b-914e-8af399b7e5ae 
f65ee3f5-8e1e-41d5-badd-42d47d08ce24",In strategy,2025-02-28,1,2025-05-16,22.44,1,0,0,0,1,Yes,Yes,N/A,Yes,Yes,"""Mental & Emotional Wellbeing""",No,No,Good,,Poor,"""Standard solutions offered, no evidence of tailoring based on the vulnerability."",""Support offered was not appropriate for the vulnerability"",""Vulnerability flag not recorded or updated, impacting future support consistency.""",Good with feedback,"""Assumptions made without clarification""",Good,,Good,,Poor,"""Tone was dismissive or robotic, lacking empathy or understanding."",""Customer preferences ignored""",Poor,"""Key details missing or incomplete in the system """,No,Yes,null,,null,Poor Outcome - Advisor,28/02/2025,268,16/05/2025,77,,
27,24/06/2025,2025-06-13,"ec7bea13-54f9-4b28-a90f-e520fd3c5100
",Up to Date,2023-07-09,4,2024-09-25,0,1,0,0,0,0,Yes,Yes,Yes,N/A,No,,No,No,Good,,Good,,Good,,Good,,Good with feedback,"""Key implications not explained""",Good,,Good,,Yes,No,null,,null,Good Outcome with Feedback,09/07/2023,868,25/09/2024,444,,
32,25/06/2025,2025-06-02,8e24d6ab-b8d4-4ea1-9cce-d8698a457ba2,Terminated,2024-07-30,2,2024-08-29,595.9,0,0,1,0,0,Yes,Yes,Yes,Yes,No,,No,No,Good,,Good,,Good,,Good,,Good,,Good,,Good,,No,No,null,,null,Good Outcome ,30/07/2024,481,29/08/2024,30,,
31,25/06/2025,2025-01-03,"318f622f-9475-40b4-a91b-7a513e2abb5c, 14f540a6-04af-4353-a5e9-b9afb0e7b8f7, 49b68cd0-4ebe-4d7e-ba64-bf92e40ed9f2, 5afc9721-a160-418b-9127-f09acbf42c9e",DCA,2024-07-15,1,2024-09-29,426,1,1,2,2,1,N/A,Yes,Yes,No,Yes,"""Health and Capacity""",No,No,Good with feedback,"""Agent failed to offer appropriate support early""",Good,,Good,,Good,,Poor,"""Customer asked no questions/questions ignored and was rushed, suggesting lack of understanding.""",Poor,"""Delayed response or contact, leading to increased customer detriment or anxiety.""",Good,,Yes,No,null,,null,Poor Outcome - Advisor,15/07/2024,496,29/09/2024,76,,
30,25/06/2025,2025-06-24,"db8ea201-a3c5-4770-94ce-f288e2317a94
6e049c7b-17c5-4f0d-b7f8-7f6b8e9e4209
438038e4-c511-4b60-b932-80ee18d9cd64
dc7f78eb-5d12-4243-8648-8212b2bed750",Up to Date,2027-09-26,1,2024-12-16,0,1,0,0,0,0,No,Yes,N/A,No,No,,No,Yes,Poor,"""Agent failed to offer appropriate support early""",Good,,Poor,"""Assumptions made without clarification""",Good,,Good,,Good with feedback,"""Tone was dismissive or robotic, lacking empathy or understanding.""",Poor,"""Key details missing or incomplete in the system """,Yes,Yes,null,,null,Poor Outcome - Advisor,26/09/2027,-672,16/12/2024,-1014,,
29,25/06/2025,2025-06-25,"64d20aa4-4360-47d3-8854-e58b671abac2
8694eab3-bea3-4026-a534-4a706c4fe69b
a0579157-27fb-4d10-a822-1aaefd7f682f
a70ee2f7-e186-495b-b9fd-26e0919a2258",In strategy,2024-08-19,1,2024-11-14,70.4,0,0,0,0,2,Yes,Yes,Yes,Yes,No,,Yes,Yes,Good,,Good,,Good,,Good,,Poor,"""Customer questions not answered properly or dismissed.""",Good,,Poor,"""Inconsistency between call notes and system updates"",""Key details missing or incomplete in the system """,No,No,null,,null,Poor Outcome - Advisor,19/08/2024,461,14/11/2024,87,,
