ID,Created,Date,Interaction IDs,Status,Loan start date,Number of times in arrears,Arrears start date,Current arrears amount,How many PTPs set on this account since first falling into arrears?,How many of these PTPs failed?,How many PAs set on this account since first falling into arrears?,How many of these PAs failed?,How many  holds were applied to this account since first falling into arrears?,Did SMS as per the strategy send to customer during period of arrears? ,Did emails as per the strategy send to customer during period of arrears?,Were all statutory comms sent when required? (NOD/NOSIA/NOT),Are system comms supressed/unsupressed correctly as of now?,Is there a VC flag on this account,Category of VC,Is there a current / open complaint?,Was there a previous complaint relevant to the customers arears position or journey?,Arrears or financial difficulties could not reasonably have been prevented through earlier engagement or support.,Arrears - Fail Reasons,"Any customer vulnerability is identified and appropriately responded to, with tailored support provided where necessary.",Vulnerability - Fail Reasons,The customer’s financial and personal circumstances are clearly understood to inform decision-making.,Customer's financial circumstances - Fail Reasons,"The support or forbearance solutions offered are tailored, fair, and appropriate to the customer’s needs and situation.",Support/Forbearance - Fail Reasons,"The customer fully understands the situation, the implications of their choices, and the next steps.",Customer understanding - Fail Reasons,"Communications are timely, clear, empathetic, and take into account customer needs (e.g. format, tone, timing of comms). Communication was easily understood and accurate. ",Communications - Fail Reasons,"All systems accurately reflect the customer’s circumstances, actions taken, and agreed next steps.",System updates - Fail Reasons,Would further back be a good review - (was any Financial Difficulty  foreseeable at Point Of Sale),Remediation Required ,Which of the below could be described as the primary reason for failure across the entire customer journey?,Were there attempts to X-sell the customer while the account was in arrears?,"If yes, which departments were responsible for attempting to X-sell whilst the customer was in arrears?",Overall outcome,Loan start date - Copy,Tenure (Days),Arrears start date - Copy,Days to enter arrears,Primary Fail Reasons Table.Which of the below could be described as the primary ,Primary Fail Reasons
62,20/08/2025,2025-08-19,"77327859
79077065
79078606
79078662
79078930
913f284a-acee-475b-8248-441892a9854d
67afec1d-9d4c-4c77-ace1-4054870a674c
19ed18df-96c8-40d3-8b76-fdc616688ba7
201e5ee3-0726-4477-a41e-995dc92b77c3 
 98aa2bc1-3262-4fdf-8674-f0ad2054a50c",Terminated,2025-05-02,1,2024-09-12,654.16,0,0,1,0,1,Yes,Yes,Yes,Yes,Yes,"""Mental Capacity"",""Life Events""",No,No,Poor,"""Missed early warning signs"",""Agent failed to offer appropriate support early"",""Customer disclosed difficulties previously but no follow-up action was taken or recorded.""",Good,,Good with feedback,"""Customer challenges not explored"",""Assumptions made without clarification""",Good,,Good with feedback,"""Customer questions not answered properly or dismissed."",""Next steps unclear or conflicting""",Poor,"""Message unclear or contradictory, causing customer confusion."",""Tone was dismissive or robotic, lacking empathy or understanding.""",Poor,"""Key details missing or incomplete in the system "",""Inconsistency between call notes and system updates"",""Incorrect flags or statuses applied""",No,Yes,null,,null,Good Outcome with Feedback,02/05/2025,205,12/09/2024,-232,,
63,21/08/2025,2025-08-21,"c27d24b1-1538-432e-99ce-d62201032d6c
66b97c15-8f56-42f4-9882-d4ff863f4bd4
2b71e4bb-7445-4291-a7bf-42ec98cef675",Up to Date,2024-11-04,1,2025-01-01,0,1,0,0,0,1,N/A,Yes,N/A,Yes,Yes,"""Health and Capacity""",No,No,Good,,Good with feedback,"""Standard solutions offered, no evidence of tailoring based on the vulnerability.""",Good,,Good,,Good,,Good,,Good with feedback,"""Next steps not documented or wrongly recorded, leading to confusion or follow-up issues.""",No,No,null,,null,Good Outcome ,04/11/2024,384,01/01/2025,58,,
64,26/08/2025,2025-08-26,"53da8d6a-2526-4ab4-86e9-f0dc80ea386b
0881b85f-f808-4d6e-852b-b932aa990ea7
240ff61e-085c-481e-bf16-e1bb383bfc13
bba55a2e-0a7c-4256-85ec-c6b6d2cf30a3
e7a5b761-5adc-4474-9e8f-9a0e60ae3e31",Terminated,2024-11-27,1,2025-01-10,1628.42,1,1,0,0,0,Yes,Yes,Yes,Yes,No,,No,No,Poor,"""Missed early warning signs""",Good,,Poor,"""Customer challenges not explored"",""Assumptions made without clarification"",""No evidence of personalisation in the outcome based on the customer’s circumstances.""",Good,,Good with feedback,"""Key implications not explained""",Good with feedback,"""Tone was dismissive or robotic, lacking empathy or understanding.""",Good,,Yes,No,null,,null,Poor Outcome - Advisor,27/11/2024,361,10/01/2025,44,,
65,28/08/2025,2025-08-28,"b006ea47-dfab-4ecf-9ab3-633cbcee9ac6
https://uk.aeriandi.com/player/app/v2/84490/4744344/portal/?ref_74985864

There is a third call, relevant to this, but I have been unable to locate this.",Up to Date,2024-05-18,2,2024-10-07,0,1,0,0,0,0,Yes,Yes,Yes,N/A,No,,No,No,Good with feedback,"""Agent failed to offer appropriate support early""",Good,,Good,,Good,,Good with feedback,"""Jargon or technical terms used with no clarification""",Good with feedback,"""Message unclear or contradictory, causing customer confusion.""",Good,,No,No,null,,null,Good Outcome with Feedback,18/05/2024,554,07/10/2024,142,,
66,29/08/2025,2025-08-29,"9d99346a-a356-4221-b489-dc9dfce5ea8c
36d09f06-48a7-463e-8694-41baab44066f
49fe6288-08a5-4877-b62e-ca4ff3773e1f
97575de5-f712-46fb-9684-4517fc4ef8d1
955ca255-27ca-448c-bfda-fdd313d58703
c32d86bc-9276-4e30-b242-74207a6a2cf8
7dc9ff31-3dd9-4b6b-a27d-0515a4d2e2c5
a3fef7cb-eebc-471d-94b6-49acec7f27a5
3bdf5ade-8d88-45de-b4d7-01a138962c22
c4fc2384-f98b-4a6c-b87e-962ba5fc5682 
cea678a0-a781-45bf-a3fa-0f5a7dbb2192
b4aa3529-653e-4a01-8ab4-62612eac4cb6 
687f08c3-3f11-43ea-a4fd-fa45b460f88e 
017e6230-93e6-4721-80ff-c9be96c5f83e
0a4232bb-ad25-4d1d-9ea4-782cf73b2107
4b0171ec-1fd8-4515-aafa-47cba1cfbd58 
24d79fa9-154d-4e49-a5e0-76201abce5d0
e1d95d14-0b64-4780-a111-52c83483a3e1
64593a93-1a3b-4de3-bf71-271db46b6d14
54de72a8-c23e-411d-86af-d61057a6f7bd
55adea2c-ff3c-470a-8676-d802ad8a45b6
5919a7ea-2b33-4121-b18f-eb7d41028672
2293d82c-5112-44b6-a38d-f237ad92a63c
c4bdee66-badc-46b5-909f-f778186507fe 
a2797485-1ece-41ff-8624-aeb8b1a193d8
",DCA,2024-05-16,1,2024-07-15,296.34,2,2,2,2,4,Yes,Yes,Yes,Yes,Yes,"""Mental & Emotional Wellbeing"",""Financial"",""Life Events""",No,No,Good with feedback,"""Missed early warning signs""",Poor,"""Standard solutions offered, no evidence of tailoring based on the vulnerability."",""Support offered was not appropriate for the vulnerability""",Good with feedback,"""Income & expenditure not captured, or done superficially with no follow-up questions."",""Key income/outgoings missed or misclassified"",""Customer challenges not explored""",Good with feedback,"""No rationale recorded for solution chosen, so suitability cannot be evidenced."",""Customer’s preferences not considered""",Poor,"""Customer asked no questions/questions ignored and was rushed, suggesting lack of understanding."",""Next steps unclear or conflicting"",""Jargon or technical terms used with no clarification"",""Customer questions not answered properly or dismissed."",""Key implications not explained""",Poor,"""Tone was dismissive or robotic, lacking empathy or understanding."",""Message unclear or contradictory, causing customer confusion."",""Incorrect or misleading information given, including wrong payment dates or account details.""",Good with feedback,"""Next steps not documented or wrongly recorded, leading to confusion or follow-up issues.""",No,No,null,,null,Poor Outcome - Advisor,16/05/2024,556,15/07/2024,60,Customer not fully understanding,Customer not fully understanding
67,29/08/2025,2025-08-29,"ff0916bc-de90-40c3-b858-e3b2f63e11de
8724d4f2-d12a-44af-8377-569f41e90dd6
https://uk.aeriandi.com/player/app/v2/84490/4744344/portal/?ref_81191427",Terminated,2023-12-11,2,2024-10-22,882.22,3,3,0,0,0,Yes,Yes,Yes,N/A,Yes,"""Health and Capacity""",No,No,Good,,Good,,Good,,Good,,Good with feedback,"""Customer asked no questions/questions ignored and was rushed, suggesting lack of understanding.""",Good,,Good,,No,No,null,,null,Good Outcome with Feedback,11/12/2023,713,22/10/2024,316,Customer not fully understanding,Customer not fully understanding
68,29/08/2025,2025-08-29,"cda95e83-4a7b-4e1f-8d55-b86fc4173520
1b533f63-0cb5-43dd-b34a-353b05991338
76847c9b-a14a-4f74-b630-44391fc9339c",In strategy,2024-08-04,1,2024-09-30,56.1,1,1,0,0,0,Yes,Yes,Yes,N/A,No,,No,No,Good with feedback,"""No proactive contact made despite available indicators of payment stress or pre-arrears.""",Good,,Good with feedback,"""No evidence of personalisation in the outcome based on the customer’s circumstances.""",Good,,Good with feedback,"""Customer asked no questions/questions ignored and was rushed, suggesting lack of understanding.""",Good with feedback,"""Tone was dismissive or robotic, lacking empathy or understanding.""",Good,,No,No,null,,null,Good Outcome with Feedback,04/08/2024,476,30/09/2024,57,Customer not fully understanding,Customer not fully understanding
69,09/09/2025,2025-09-09,"43d7f072-0502-4a45-851e-e308c39aba13
111b917f-07b4-4eb4-b8ec-07aefd060d12 
a1b61a8b-fbe0-4117-8b18-087a002d4647
a9deff97-f08d-4e36-9237-8c25e8f32dc7
9101ba1b-449f-41b2-9be7-242edda4f2a5",Up to Date,2024-07-24,1,2024-08-27,0,1,0,1,1,2,Yes,Yes,Yes,Yes,No,,No,Yes,Poor,"""Agent failed to offer appropriate support early"",""Missed early warning signs""",Good,,Good,,Good,,Poor,"""Next steps unclear or conflicting"",""Key implications not explained"",""Jargon or technical terms used with no clarification"",""Customer questions not answered properly or dismissed.""",Good with feedback,"""Message unclear or contradictory, causing customer confusion."",""Incorrect or misleading information given, including wrong payment dates or account details.""",Good with feedback,"""Next steps not documented or wrongly recorded, leading to confusion or follow-up issues."",""Inconsistency between call notes and system updates""",No,No,null,,null,Poor Outcome - Advisor,24/07/2024,487,27/08/2024,34,Preventable arrears,Preventable arrears
70,15/09/2025,2025-09-15,"a3aabb75-c6d6-4d54-ae67-7360fecd0aca
4ce3cb1b-fe31-4b85-86fb-3aede72c8f67
377c9c76-17b7-4ad6-bf67-3f612117cef4",Up to Date,2023-06-17,1,2025-02-03,0,1,0,0,0,1,Yes,Yes,Yes,Yes,No,,No,No,Good,,Good with feedback,"""Signs of vulnerability not probed or acknowledged """,Good,,Good,,Good,,Good,,Good,,No,No,null,,null,Good Outcome ,17/06/2023,890,03/02/2025,597,,
71,16/09/2025,2025-09-16,"c75eda46-e8ca-484e-92d6-12a511dbd8c9
8c9b3d78-ede7-42bc-b42f-75b42448b62b
",Up to Date,2024-11-18,1,2025-02-20,0,1,0,0,0,1,Yes,Yes,Yes,Yes,No,,No,No,Good,,Good with feedback,"""Signs of vulnerability not probed or acknowledged "",""Support offered was not appropriate for the vulnerability""",Good with feedback,"""Customer challenges not explored""",Good,,Good with feedback,"""Customer asked no questions/questions ignored and was rushed, suggesting lack of understanding."",""Customer questions not answered properly or dismissed.""",Good with feedback,"""Message unclear or contradictory, causing customer confusion.""",Good,,No,No,null,,null,Good Outcome with Feedback,18/11/2024,370,20/02/2025,94,Customer not fully understanding,Customer not fully understanding
72,18/09/2025,2025-09-18,"78082384
80871274
dbeadd44-93e7-4a59-821a-eba8d17d2e83
d8d78ec5-ebe9-405c-a0be-e1f0f02f6266
956bc6a5-feab-4ce2-879d-6e2d32f604d6
1651a330-b707-482e-98f5-5a7dd622e374
c583d257-291a-475b-b0c4-2888b090fe92
",Up to Date,2024-09-02,2,2024-11-20,0,1,0,1,0,2,Yes,Yes,Yes,Yes,No,,No,No,Poor,"""Agent failed to offer appropriate support early"",""Missed early warning signs""",Good,,Good with feedback,"""Customer challenges not explored"",""No evidence of personalisation in the outcome based on the customer’s circumstances.""",Good,,Poor,"""Next steps unclear or conflicting"",""Key implications not explained""",Good with feedback,"""Tone was dismissive or robotic, lacking empathy or understanding.""",Good,,No,No,null,,null,Poor Outcome - Advisor,02/09/2024,447,20/11/2024,79,Preventable arrears,Preventable arrears
73,24/09/2025,2025-09-24,"73570385
75054013
75059867
cb42a228-cb95-4730-b484-c8f808e267c0
8b415575-7374-461e-aafe-bbbd885559ec",In strategy,2023-10-11,2,2024-06-12,17.92,2,1,0,0,2,Yes,Yes,Yes,Yes,Yes,"""Health and Capacity""",No,No,Poor,"""Agent failed to offer appropriate support early"",""Non Justified hold or delay in contact, leading to escalation in arrears or stress for the customer.""",Poor,"""Standard solutions offered, no evidence of tailoring based on the vulnerability."",""Support offered was not appropriate for the vulnerability""",Poor,"""Customer challenges not explored"",""Assumptions made without clarification"",""No evidence of personalisation in the outcome based on the customer’s circumstances.""",Good with feedback,"""Inflexible options offered"",""Customer’s preferences not considered""",Poor,"""Next steps unclear or conflicting"",""Customer questions not answered properly or dismissed."",""Key implications not explained""",Good with feedback,"""Message unclear or contradictory, causing customer confusion."",""Incorrect or misleading information given, including wrong payment dates or account details.""",Poor,"""Key details missing or incomplete in the system """,No,Yes,null,,null,Poor Outcome - Advisor,11/10/2023,774,12/06/2024,245,Customer not fully understanding,Customer not fully understanding
74,29/09/2025,2025-09-24,"c4931e4b-2891-457d-9184-7bd4de49c1a1
c1a3d491-7805-48bf-a3f3-78acc9616fa5
100cf53a-31ce-4511-8ed8-60d5a60febdc
e57959bb-7287-498a-afc9-bb8a7b5cd552
623331c9-1589-46ed-87ee-f4f250c5d40d
b34e133a-3538-4cd5-a681-c6162a63a758 
2421b2d8-8fee-47df-9b02-6819141fea52 
e62e7c3b-6b25-4d30-afd6-95e8ce7467b6
b80f1620-10fc-44e7-9b09-f316feb024b3 ",DCA,2024-09-17,1,2025-01-06,1139.56,1,1,0,0,1,Yes,Yes,Yes,Yes,Yes,"""Health and Capacity"",""Life Events""",No,No,Good with feedback,"""Missed early warning signs""",Poor,"""Signs of vulnerability not probed or acknowledged "",""Customer disclosure overlooked or not acted upon"",""Standard solutions offered, no evidence of tailoring based on the vulnerability."",""Support offered was not appropriate for the vulnerability"",""Vulnerability flag not recorded or updated, impacting future support consistency.""",Poor,"""Income & expenditure not captured, or done superficially with no follow-up questions."",""Customer challenges not explored"",""Assumptions made without clarification"",""No evidence of personalisation in the outcome based on the customer’s circumstances.""",Poor,"""Proposed solution not affordable or sustainable based on I&E or customer disclosure."",""Inappropriate solution for customer scenario"",""No rationale recorded for solution chosen, so suitability cannot be evidenced.""",Poor,"""Key implications not explained"",""Customer asked no questions/questions ignored and was rushed, suggesting lack of understanding."",""Jargon or technical terms used with no clarification"",""Customer questions not answered properly or dismissed.""",Good with feedback,"""Tone was dismissive or robotic, lacking empathy or understanding."",""Message unclear or contradictory, causing customer confusion.""",Good with feedback,"""Key details missing or incomplete in the system """,No,Yes,null,,null,Poor Outcome - Advisor,17/09/2024,432,06/01/2025,111,Support/Forbearance opportunities,Support/Forbearance opportunities
77,30/09/2025,2025-09-30,"44fbf3b4-a51c-49fc-bfe8-fd5d47576cf1
60d0a527-5125-4647-8ea3-fec704fa12bb
b08b4019-8a6c-4e1a-b523-b4e9c2e87dd2
bc34b999-ad41-4f8c-b6f4-8610100c6268
e4803492-e870-4965-b68b-7bb8ff4fc082
372b0568-8035-414b-9557-e90ed4787fc3
c4818dbe-c6a3-471f-9deb-a33d2a157332
60732244-58a0-4118-b1a2-ee2e079225b5
164bfabc-b743-431a-852f-4a73891cc942
1ef3cf6d-2960-4f0f-bfc8-b6c3e8b59a08",Up to Date,2024-06-13,3,2024-09-25,0,2,1,0,0,2,Yes,Yes,Yes,Yes,Yes,"""Mental & Emotional Wellbeing"",""Life Events""",No,No,Poor,"""Missed early warning signs"",""Customer disclosed difficulties previously but no follow-up action was taken or recorded."",""Agent failed to offer appropriate support early""",Poor,"""Signs of vulnerability not probed or acknowledged "",""Customer disclosure overlooked or not acted upon"",""Support offered was not appropriate for the vulnerability""",Good with feedback,"""Customer challenges not explored""",Good with feedback,"""Customer’s preferences not considered""",Good,,Good with feedback,"""Tone was dismissive or robotic, lacking empathy or understanding."",""Customer preferences ignored""",Good,,No,No,null,,null,Good Outcome with Feedback,13/06/2024,528,25/09/2024,104,Vulnerability process not followed,Vulnerability process not followed
76,30/09/2025,2025-09-30,"2e0ceb5d-240b-438a-960d-603abadc2386, 
af3d15b5-e2ed-483a-83b2-38c86aa2b90a,
7ba76555-c698-49e8-a047-afba7410966c,
dcd217f5-3eeb-4c2c-96be-b003008fa586,
4ce5f9cc-abe7-4c4c-beba-bd18aea29457,
06f66689-204d-4451-933b-ba996412aa08,
9924c752-12c8-414e-a57f-f0f4e489c00a",Up to Date,2025-04-17,1,2025-06-03,0,0,0,1,0,0,N/A,Yes,N/A,N/A,No,,No,No,Good with feedback,"""Missed early warning signs""",Good,,Good,,Good,,Good,,Good,,Good,,No,No,null,,null,Good Outcome with Feedback,17/04/2025,220,03/06/2025,47,Preventable arrears,Preventable arrears
75,30/09/2025,2025-09-29,"3e669f2d-988b-4e80-91b9-ab81892b4a6f
47e1b161-7c6c-4877-8283-685c3325e18b
ed1a1469-13c2-4038-a670-a507f48d12aa
3dc9d50c-378c-4c71-b516-272ab5fa4898
588dcb52-4a8a-4a5a-91e2-1549b497bdcd
c6b0532c-308c-41ea-ac85-5f910cf8194f
181d8692-e73d-4ac3-9eae-e47a8a6e676f
9d5f92cd-f3af-4642-910e-56cce15ae23d",Up to Date,2024-11-03,1,2024-11-19,0,1,0,0,0,1,Yes,Yes,Yes,Yes,Yes,"""Financial"",""Accessibility""",No,No,Poor,"""Missed early warning signs"",""Customer disclosed difficulties previously but no follow-up action was taken or recorded."",""Agent failed to offer appropriate support early""",Good with feedback,"""Standard solutions offered, no evidence of tailoring based on the vulnerability.""",Good,,Good,,Good,,Good,,Good,,No,Yes,null,,null,Good Outcome with Feedback,03/11/2024,385,19/11/2024,16,Support/Forbearance opportunities,Support/Forbearance opportunities
79,21/10/2025,2025-10-21,"9f6f16a4-e32a-47f2-8232-8c81ad9f17c4
d06832b2-9201-4cdc-b77a-232e2e9b052f
38606603-2678-424f-ab1c-3495302cb0c3
",Up to Date,2024-03-13,1,2025-02-17,0,0,0,1,1,1,Yes,Yes,Yes,Yes,No,,No,No,Good,,NA,,Good,,Good,,Good,,Good with feedback,"""Incorrect or misleading information given, including wrong payment dates or account details.""",Good,,No,No,Communications failures,,null,Good Outcome with Feedback,13/03/2024,620,17/02/2025,341,,
78,21/10/2025,2025-10-21,"6f5cf473-045e-445c-82f6-d5fdca5e0559
42722d0b-b2b8-49e0-bbd2-1d7d7f71edd6
0e4a6b94-f49f-4015-9ce5-7fa12946e35a
",DCA,2024-06-02,1,2025-03-13,877.6,0,0,1,1,1,Yes,Yes,Yes,Yes,Yes,"""Mental & Emotional Wellbeing"",""Financial""",No,No,Poor,"""Agent failed to offer appropriate support early"",""Customer disclosed difficulties previously but no follow-up action was taken or recorded."",""Missed early warning signs""",Poor,"""Signs of vulnerability not probed or acknowledged "",""Customer disclosure overlooked or not acted upon"",""Standard solutions offered, no evidence of tailoring based on the vulnerability.""",Good with feedback,"""Customer challenges not explored"",""No evidence of personalisation in the outcome based on the customer’s circumstances.""",Good with feedback,"""No rationale recorded for solution chosen, so suitability cannot be evidenced."",""Inappropriate solution for customer scenario""",Poor,"""Key implications not explained"",""Next steps unclear or conflicting"",""Customer questions not answered properly or dismissed.""",Good with feedback,"""Tone was dismissive or robotic, lacking empathy or understanding."",""Customer preferences ignored""",Good with feedback,"""Next steps not documented or wrongly recorded, leading to confusion or follow-up issues.""",No,No,Preventable arrears,,null,Poor Outcome - Advisor,02/06/2024,539,13/03/2025,284,,
80,22/10/2025,2025-10-21,"a415b101-6393-48eb-b648-0c878aa610ed
8065ab1a-1f4c-4f3e-be07-c18d80fbdb2d",DCA,2024-10-21,1,2024-12-03,817.66,0,0,1,1,1,Yes,Yes,Yes,Yes,No,,No,No,Good,,NA,,Good with feedback,"""Customer challenges not explored"",""No evidence of personalisation in the outcome based on the customer’s circumstances.""",Good,,Good with feedback,"""Next steps unclear or conflicting"",""Customer asked no questions/questions ignored and was rushed, suggesting lack of understanding.""",Good,,Good,,No,No,Customer not fully understanding,,null,Good Outcome with Feedback,21/10/2024,398,03/12/2024,43,,
81,28/10/2025,2025-10-28,"337cb9b5-2cac-45b0-863d-668d3d9e0db4
b3c3d736-f78a-4b52-a14c-8f562c31c20b
58511e9a-d1e7-4d66-95fc-328fdfd66542
d508b78e-b6d1-45e4-9a96-5f021dfb2587
89f841f4-a23c-48d5-ae3b-870bafc4ce67
",Terminated,2024-06-26,1,2024-08-25,796.5,0,0,1,1,1,Yes,Yes,Yes,Yes,No,,No,Yes,Good with feedback,"""Missed early warning signs""",NA,,Poor,"""Customer challenges not explored"",""No evidence of personalisation in the outcome based on the customer’s circumstances.""",Good with feedback,"""No rationale recorded for solution chosen, so suitability cannot be evidenced.""",Poor,"""Customer asked no questions/questions ignored and was rushed, suggesting lack of understanding."",""Jargon or technical terms used with no clarification"",""Customer questions not answered properly or dismissed.""",Good with feedback,"""Tone was dismissive or robotic, lacking empathy or understanding.""",Good with feedback,"""Key details missing or incomplete in the system "",""Next steps not documented or wrongly recorded, leading to confusion or follow-up issues.""",Yes,Yes,Customer circumstances not understood,,null,Poor Outcome - Advisor,26/06/2024,515,25/08/2024,60,,
82,30/10/2025,2025-10-28,"dc012019-0c36-4798-b8dc-6877c02861d9
6c21f1a8-2fea-4f6e-b030-dbdf92e9b41c
05bf05d7-8de7-4d85-bdaa-8aa95fa64fdf
5c4f135c-13e5-496d-9fdd-d6d5ef93424d
82b0c7f9-e6c9-44f1-a5ab-8ebc8702e2d0
ee96accc-7f6e-4f69-bf41-cc1e175b9056
f8b79cd8-a480-47ac-8aef-26f25f2f29d4
03d37525-7488-4d10-9735-08957e5d6314
d7b45a1e-9d10-4421-8315-69993e0f0f63
57fa4a87-bfbb-42a0-a883-2599f47d09b8
582201e8-e438-4259-a2b0-6bee1dc12243
7fc3ee35-e5b7-4409-8cbd-fcf092571edd
97048680-7e0d-44ce-9217-93f8d5ca40d4
42330d9f-9cc4-4c49-a184-5e38432d6ade

",In strategy,2025-02-27,3,2025-03-15,0,1,0,0,0,1,Yes,Yes,Yes,Yes,Yes,"""Health and Capacity"",""Mental & Emotional Wellbeing"",""Financial"",""Life Events"",""Mental Capacity""",No,No,Poor,"""Missed early warning signs"",""No proactive contact made despite available indicators of payment stress or pre-arrears."",""Agent failed to offer appropriate support early"",""Customer disclosed difficulties previously but no follow-up action was taken or recorded.""",Poor,"""Signs of vulnerability not probed or acknowledged "",""Customer disclosure overlooked or not acted upon"",""Standard solutions offered, no evidence of tailoring based on the vulnerability."",""Support offered was not appropriate for the vulnerability"",""Vulnerability flag not recorded or updated, impacting future support consistency.""",Poor,"""Income & expenditure not captured, or done superficially with no follow-up questions."",""Key income/outgoings missed or misclassified"",""Customer challenges not explored"",""Assumptions made without clarification"",""No evidence of personalisation in the outcome based on the customer’s circumstances.""",Poor,"""Inflexible options offered"",""Inappropriate solution for customer scenario"",""No rationale recorded for solution chosen, so suitability cannot be evidenced."",""Customer’s preferences not considered""",Poor,"""Key implications not explained"",""Customer asked no questions/questions ignored and was rushed, suggesting lack of understanding."",""Next steps unclear or conflicting"",""Jargon or technical terms used with no clarification"",""Customer questions not answered properly or dismissed.""",Poor,"""Tone was dismissive or robotic, lacking empathy or understanding."",""Message unclear or contradictory, causing customer confusion."",""Customer preferences ignored""",Poor,"""Key details missing or incomplete in the system "",""Next steps not documented or wrongly recorded, leading to confusion or follow-up issues.""",Yes,Yes,Vulnerability process not followed,,null,Poor Outcome - Advisor,27/02/2025,269,15/03/2025,16,,
83,31/10/2025,2025-10-31,"102424c2-4147-4189-b85c-215a82971e34
892bea7c-4776-4fa9-aad9-b7e0bf5385db
940b7ec1-5e6e-486a-915a-09e8fdd05aeb
b60e6970-b98d-4cef-ba4c-e90fb4975355
85e01aa6-5bda-4621-9970-f1e18fa0b546
2bbbf75f-c305-42a9-a614-9c93d39f0c78
",DCA,2025-04-10,1,2025-05-12,162,0,0,1,1,1,Yes,Yes,Yes,Yes,Yes,"""Health and Capacity""",No,No,Good with feedback,"""Missed early warning signs"",""Agent failed to offer appropriate support early"",""Customer disclosed difficulties previously but no follow-up action was taken or recorded.""",Poor,"""Signs of vulnerability not probed or acknowledged "",""Customer disclosure overlooked or not acted upon"",""Vulnerability flag not recorded or updated, impacting future support consistency.""",Poor,"""Key income/outgoings missed or misclassified"",""Customer challenges not explored"",""Assumptions made without clarification"",""No evidence of personalisation in the outcome based on the customer’s circumstances.""",Good with feedback,"""Customer’s preferences not considered"",""No rationale recorded for solution chosen, so suitability cannot be evidenced."",""Proposed solution not affordable or sustainable based on I&E or customer disclosure.""",Good with feedback,"""Customer questions not answered properly or dismissed.""",Good with feedback,"""Tone was dismissive or robotic, lacking empathy or understanding."",""Message unclear or contradictory, causing customer confusion."",""Incorrect or misleading information given, including wrong payment dates or account details.""",Good with feedback,"""Key details missing or incomplete in the system """,No,No,Vulnerability process not followed,,null,Poor Outcome - Advisor,10/04/2025,227,12/05/2025,32,,
